  cell  ,E,W,N,S
"(3, 5)",1,1,1,1
"(4, 5)",1,0,1,0
"(5, 5)",1,1,0,1
"(6, 5)",1,1,1,1
"(7, 5)",0,1,1,0
"(8, 5)",1,1,0,1
"(9, 5)",1,0,1,1
"(10, 5)",1,1,1,1
"(11, 5)",1,0,1,0
"(12, 5)",0,1,0,1
"(13, 5)",1,0,1,1
"(14, 5)",1,0,1,1
"(15, 5)",0,1,1,0
"(16, 5)",1,1,0,1
"(17, 5)",0,1,1,1
"(18, 5)",1,1,1,0
"(19, 5)",1,1,0,1
"(20, 5)",0,0,1,1
"(21, 5)",0,1,1,1
"(22, 5)",1,1,1,0
"(23, 5)",1,1,0,0
"(24, 5)",1,0,0,1
"(25, 5)",1,1,1,0
"(26, 5)",1,0,0,1
"(27, 5)",0,1,1,1
"(28, 5)",0,1,1,1
"(29, 5)",1,0,1,1
"(30, 5)",1,1,1,0
"(31, 5)",1,1,0,1
"(32, 5)",1,0,1,1
"(33, 5)",0,1,1,0
"(34, 5)",1,1,0,0
"(35, 5)",1,0,0,1
"(36, 5)",1,1,1,0
"(37, 5)",1,1,0,0
"(38, 5)",1,1,0,0
"(39, 5)",1,1,0,1
"(40, 5)",1,0,1,1
"(41, 5)",0,0,1,1
"(42, 5)",1,1,1,0
"(43, 5)",1,1,0,1
"(44, 5)",0,1,1,0
"(45, 5)",0,1,0,1
"(46, 5)",1,0,1,1
"(47, 5)",0,1,1,1
"(48, 5)",1,1,1,1
"(49, 5)",1,1,1,1
"(50, 5)",1,0,1,1
"(51, 5)",0,0,1,1
"(52, 5)",1,1,1,1
"(53, 5)",1,0,1,1
"(54, 5)",0,0,1,1
"(55, 5)",1,1,1,1
"(56, 5)",1,1,1,0
"(57, 5)",1,0,0,1
"(58, 5)",1,1,1,0
"(59, 5)",1,1,0,1
"(60, 5)",0,0,1,1
"(61, 5)",1,1,1,0
"(62, 5)",0,1,0,1
"(63, 5)",1,1,1,0
"(64, 5)",1,1,0,1
"(65, 5)",1,1,1,1
"(66, 5)",1,1,1,0
"(67, 5)",1,1,0,1
"(68, 5)",0,1,1,1
"(69, 5)",1,0,1,0
"(70, 5)",1,1,0,0
"(1, 6)",1,1,0,0
"(2, 6)",1,1,0,0
"(3, 6)",1,1,0,0
"(4, 6)",1,1,0,0
"(5, 6)",1,1,0,0
"(6, 6)",0,1,0,1
"(7, 6)",1,0,1,0
"(8, 6)",1,1,0,0
"(9, 6)",1,1,0,0
"(10, 6)",1,1,0,0
"(11, 6)",1,1,0,1
"(12, 6)",0,0,1,1
"(13, 6)",1,1,1,0
"(14, 6)",1,1,0,1
"(15, 6)",0,0,1,1
"(16, 6)",1,1,1,1
"(17, 6)",1,0,1,0
"(18, 6)",1,1,0,1
"(19, 6)",0,1,1,1
"(20, 6)",1,0,1,0
"(21, 6)",1,0,0,1
"(22, 6)",1,1,1,0
"(23, 6)",1,1,0,1
"(24, 6)",0,1,1,0
"(25, 6)",1,1,0,1
"(26, 6)",0,1,1,1
"(27, 6)",1,0,1,0
"(28, 6)",1,0,0,1
"(29, 6)",1,1,1,0
"(30, 6)",0,1,0,1
"(31, 6)",1,1,1,0
"(32, 6)",1,1,0,1
"(33, 6)",1,0,1,1
"(34, 6)",0,1,1,1
"(35, 6)",0,1,1,0
"(36, 6)",1,1,0,1
"(37, 6)",0,1,1,1
"(38, 6)",0,1,1,1
"(39, 6)",1,1,1,0
"(40, 6)",1,1,0,1
"(41, 6)",1,0,1,1
"(42, 6)",1,1,1,1
"(43, 6)",0,1,1,1
"(44, 6)",0,0,1,1
"(45, 6)",0,0,1,1
"(46, 6)",1,1,1,1
"(47, 6)",1,0,1,1
"(48, 6)",1,1,1,0
"(49, 6)",1,1,0,0
"(50, 6)",1,1,0,1
"(51, 6)",1,0,1,1
"(52, 6)",0,1,1,0
"(53, 6)",1,1,0,1
"(54, 6)",0,0,1,1
"(55, 6)",0,1,1,0
"(56, 6)",1,1,0,1
"(57, 6)",0,1,1,0
"(58, 6)",1,1,0,1
"(59, 6)",0,1,1,1
"(60, 6)",0,0,1,1
"(61, 6)",1,1,1,1
"(62, 6)",1,0,1,0
"(63, 6)",1,1,0,0
"(64, 6)",1,1,0,0
"(65, 6)",1,1,0,0
"(66, 6)",1,1,0,0
"(67, 6)",1,1,0,1
"(68, 6)",1,0,1,1
"(69, 6)",0,1,1,1
"(70, 6)",1,1,1,0
"(1, 7)",1,1,0,1
"(2, 7)",0,1,1,0
"(3, 7)",0,1,0,1
"(4, 7)",0,1,1,1
"(5, 7)",1,1,1,1
"(6, 7)",1,0,1,1
"(7, 7)",0,1,1,1
"(8, 7)",1,1,1,1
"(9, 7)",0,1,1,0
"(10, 7)",1,1,0,1
"(11, 7)",1,1,1,1
"(12, 7)",0,0,1,1
"(13, 7)",1,1,1,1
"(14, 7)",0,1,1,0
"(15, 7)",1,0,0,1
"(16, 7)",1,1,1,0
"(17, 7)",1,1,0,1
"(18, 7)",1,1,1,1
"(19, 7)",1,0,1,1
"(20, 7)",0,1,1,1
"(21, 7)",1,1,1,0
"(22, 7)",1,1,0,1
"(23, 7)",0,1,1,1
"(24, 7)",1,0,1,1
"(25, 7)",0,1,1,1
"(26, 7)",0,0,1,1
"(27, 7)",1,1,1,1
"(28, 7)",1,1,1,0
"(29, 7)",1,1,0,0
"(30, 7)",1,0,0,1
"(31, 7)",0,1,1,1
"(32, 7)",0,1,1,0
"(33, 7)",0,1,0,1
"(34, 7)",1,0,1,0
"(35, 7)",1,0,0,1
"(36, 7)",0,1,1,1
"(37, 7)",1,0,1,0
"(38, 7)",1,0,0,1
"(39, 7)",0,1,1,1
"(40, 7)",1,1,1,0
"(41, 7)",0,1,0,0
"(42, 7)",1,1,0,1
"(43, 7)",1,0,1,1
"(44, 7)",0,0,1,1
"(45, 7)",1,0,1,1
"(46, 7)",1,1,1,0
"(47, 7)",1,1,0,0
"(48, 7)",1,1,0,1
"(49, 7)",0,1,1,1
"(50, 7)",1,1,1,0
"(51, 7)",1,1,0,1
"(52, 7)",0,0,1,1
"(53, 7)",1,1,1,0
"(54, 7)",1,0,0,1
"(55, 7)",0,0,1,1
"(56, 7)",1,1,1,1
"(57, 7)",1,0,1,1
"(58, 7)",0,1,1,1
"(59, 7)",1,0,1,1
"(60, 7)",0,0,1,1
"(61, 7)",1,1,1,0
"(62, 7)",1,1,0,1
"(63, 7)",0,1,1,1
"(64, 7)",0,1,1,1
"(65, 7)",1,1,1,1
"(66, 7)",1,1,1,1
"(67, 7)",0,1,1,0
"(68, 7)",0,1,0,1
"(69, 7)",1,0,1,0
"(70, 7)",1,1,0,0
"(1, 8)",1,1,0,1
"(2, 8)",0,0,1,1
"(3, 8)",0,0,1,1
"(4, 8)",1,0,1,1
"(5, 8)",0,1,1,0
"(6, 8)",1,1,0,0
"(7, 8)",1,0,0,1
"(8, 8)",1,1,1,1
"(9, 8)",1,0,1,1
"(10, 8)",0,1,1,0
"(11, 8)",1,1,0,1
"(12, 8)",1,0,1,0
"(13, 8)",1,1,0,1
"(14, 8)",0,0,1,1
"(15, 8)",1,1,1,0
"(16, 8)",1,1,0,1
"(17, 8)",1,1,1,0
"(18, 8)",1,1,0,0
"(19, 8)",0,1,0,1
"(20, 8)",1,0,1,1
"(21, 8)",0,1,1,1
"(22, 8)",1,1,1,1
"(23, 8)",0,0,1,1
"(24, 8)",1,1,1,1
"(25, 8)",0,0,1,1
"(26, 8)",1,0,1,1
"(27, 8)",1,1,1,0
"(28, 8)",1,1,0,1
"(29, 8)",1,1,1,0
"(30, 8)",1,1,0,1
"(31, 8)",1,0,1,1
"(32, 8)",0,0,1,1
"(33, 8)",1,0,1,1
"(34, 8)",1,1,1,1
"(35, 8)",1,1,1,1
"(36, 8)",1,0,1,1
"(37, 8)",0,1,1,1
"(38, 8)",1,1,1,0
"(39, 8)",1,0,0,0
"(40, 8)",1,1,0,1
"(41, 8)",0,0,1,1
"(42, 8)",1,1,1,0
"(43, 8)",1,1,0,1
"(44, 8)",1,0,1,1
"(45, 8)",0,1,1,0
"(46, 8)",1,1,0,1
"(47, 8)",1,1,1,0
"(48, 8)",1,1,0,0
"(49, 8)",1,0,0,1
"(50, 8)",0,1,1,1
"(51, 8)",1,1,1,1
"(52, 8)",0,0,1,1
"(53, 8)",1,1,1,1
"(54, 8)",0,1,1,1
"(55, 8)",1,0,1,1
"(56, 8)",1,1,1,0
"(57, 8)",1,1,0,1
"(58, 8)",1,0,1,1
"(59, 8)",0,1,1,1
"(60, 8)",1,0,1,1
"(61, 8)",0,1,1,1
"(62, 8)",0,1,1,1
"(63, 8)",1,0,1,0
"(64, 8)",1,0,0,1
"(65, 8)",0,1,1,0
"(66, 8)",1,1,0,1
"(67, 8)",0,0,1,1
"(68, 8)",1,0,1,1
"(69, 8)",0,1,1,1
"(70, 8)",1,1,1,0
"(1, 9)",1,1,0,1
"(2, 9)",1,0,1,1
"(3, 9)",0,0,1,1
"(4, 9)",0,1,1,1
"(5, 9)",1,0,1,1
"(6, 9)",1,1,1,1
"(7, 9)",1,1,1,0
"(8, 9)",0,1,0,0
"(9, 9)",0,1,0,1
"(10, 9)",1,0,1,0
"(11, 9)",0,1,0,0
"(12, 9)",0,1,0,1
"(13, 9)",1,1,1,1
"(14, 9)",1,0,1,1
"(15, 9)",1,1,1,0
"(16, 9)",1,1,0,0
"(17, 9)",1,1,0,0
"(18, 9)",1,1,0,1
"(19, 9)",0,0,1,1
"(20, 9)",1,1,1,1
"(21, 9)",0,0,1,1
"(22, 9)",0,1,1,1
"(23, 9)",1,0,1,0
"(24, 9)",1,1,0,1
"(25, 9)",1,0,1,1
"(26, 9)",0,1,1,0
"(27, 9)",1,1,0,1
"(28, 9)",0,1,1,0
"(29, 9)",0,1,0,1
"(30, 9)",1,1,1,0
"(31, 9)",1,1,0,0
"(32, 9)",1,0,0,1
"(33, 9)",0,1,1,0
"(34, 9)",1,1,0,0
"(35, 9)",1,1,0,0
"(36, 9)",1,1,0,1
"(37, 9)",1,0,1,0
"(38, 9)",1,1,0,1
"(39, 9)",0,1,1,1
"(40, 9)",1,1,1,1
"(41, 9)",1,0,1,0
"(42, 9)",1,1,0,1
"(43, 9)",0,1,1,0
"(44, 9)",1,1,0,1
"(45, 9)",0,0,1,1
"(46, 9)",1,1,1,0
"(47, 9)",0,1,0,1
"(48, 9)",1,1,1,1
"(49, 9)",1,1,1,1
"(50, 9)",0,0,1,1
"(51, 9)",1,1,1,1
"(52, 9)",1,0,1,1
"(53, 9)",1,1,1,1
"(54, 9)",1,0,1,1
"(55, 9)",0,1,1,0
"(56, 9)",1,1,0,1
"(57, 9)",1,1,1,0
"(58, 9)",1,1,0,1
"(59, 9)",0,0,1,1
"(60, 9)",1,1,1,1
"(61, 9)",1,0,1,0
"(62, 9)",1,0,0,1
"(63, 9)",0,1,1,1
"(64, 9)",0,1,1,1
"(65, 9)",1,0,1,1
"(66, 9)",1,1,1,1
"(67, 9)",1,0,1,1
"(68, 9)",0,1,1,1
"(69, 9)",1,0,1,1
"(70, 9)",0,1,1,0
"(1, 10)",1,1,0,0
"(2, 10)",0,1,0,1
"(3, 10)",1,0,1,0
"(4, 10)",1,0,0,1
"(5, 10)",1,1,1,0
"(6, 10)",1,1,0,0
"(7, 10)",0,1,0,1
"(8, 10)",1,0,1,1
"(9, 10)",1,0,1,1
"(10, 10)",1,1,1,1
"(11, 10)",1,0,1,1
"(12, 10)",0,0,1,1
"(13, 10)",1,1,1,0
"(14, 10)",0,1,0,0
"(15, 10)",1,1,0,0
"(16, 10)",1,1,0,0
"(17, 10)",1,1,0,1
"(18, 10)",0,1,1,1
"(19, 10)",1,0,1,1
"(20, 10)",1,1,1,1
"(21, 10)",1,0,1,1
"(22, 10)",1,0,1,0
"(23, 10)",1,1,0,1
"(24, 10)",1,1,1,0
"(25, 10)",1,1,0,1
"(26, 10)",1,0,1,1
"(27, 10)",1,1,1,1
"(28, 10)",1,0,1,1
"(29, 10)",0,0,1,1
"(30, 10)",1,1,1,1
"(31, 10)",0,1,1,1
"(32, 10)",0,1,1,1
"(33, 10)",1,0,1,0
"(34, 10)",1,1,0,1
"(35, 10)",0,1,1,1
"(36, 10)",1,1,1,0
"(37, 10)",1,1,0,1
"(38, 10)",0,1,1,1
"(39, 10)",0,0,1,1
"(40, 10)",1,1,1,0
"(41, 10)",1,1,0,1
"(42, 10)",0,1,1,1
"(43, 10)",0,0,1,1
"(44, 10)",1,1,1,0
"(45, 10)",1,0,0,1
"(46, 10)",0,1,1,1
"(47, 10)",1,0,1,1
"(48, 10)",1,1,1,0
"(49, 10)",0,1,0,1
"(50, 10)",1,0,1,1
"(51, 10)",1,1,1,0
"(52, 10)",1,1,0,0
"(53, 10)",1,1,0,0
"(54, 10)",1,1,0,1
"(55, 10)",0,0,1,1
"(56, 10)",1,1,1,0
"(57, 10)",1,1,0,1
"(58, 10)",0,1,1,1
"(59, 10)",1,0,1,1
"(60, 10)",1,1,1,0
"(61, 10)",0,1,0,1
"(62, 10)",0,1,1,1
"(63, 10)",0,0,1,1
"(64, 10)",1,0,1,1
"(65, 10)",0,1,1,0
"(66, 10)",1,1,0,0
"(67, 10)",0,1,0,1
"(68, 10)",1,0,1,1
"(69, 10)",0,1,1,1
"(70, 10)",1,0,1,0
"(1, 11)",1,1,0,1
"(2, 11)",1,0,1,1
"(3, 11)",1,1,1,0
"(4, 11)",1,1,0,0
"(5, 11)",1,1,0,1
"(6, 11)",0,1,1,0
"(7, 11)",1,0,0,1
"(8, 11)",1,1,1,0
"(9, 11)",1,1,0,0
"(10, 11)",1,1,0,0
"(11, 11)",1,1,0,1
"(12, 11)",1,0,1,0
"(13, 11)",1,1,0,1
"(14, 11)",1,0,1,1
"(15, 11)",0,1,1,1
"(16, 11)",1,1,1,0
"(17, 11)",1,1,0,1
"(18, 11)",1,0,1,1
"(19, 11)",1,1,1,0
"(20, 11)",1,1,0,0
"(21, 11)",1,1,0,0
"(22, 11)",1,1,0,1
"(23, 11)",0,1,1,0
"(24, 11)",1,1,0,1
"(25, 11)",1,1,1,0
"(26, 11)",1,1,0,0
"(27, 11)",1,1,0,0
"(28, 11)",0,1,0,1
"(29, 11)",1,0,1,1
"(30, 11)",1,1,1,1
"(31, 11)",1,0,1,1
"(32, 11)",0,0,1,1
"(33, 11)",1,1,1,1
"(34, 11)",1,1,1,1
"(35, 11)",1,0,1,1
"(36, 11)",0,1,1,1
"(37, 11)",1,1,1,1
"(38, 11)",0,0,1,1
"(39, 11)",0,0,1,1
"(40, 11)",0,1,1,1
"(41, 11)",1,1,1,1
"(42, 11)",1,0,1,1
"(43, 11)",0,0,1,1
"(44, 11)",1,1,1,1
"(45, 11)",0,1,1,1
"(46, 11)",0,0,1,1
"(47, 11)",0,1,1,0
"(48, 11)",1,1,0,1
"(49, 11)",1,0,1,1
"(50, 11)",1,1,1,0
"(51, 11)",1,1,0,1
"(52, 11)",1,1,1,1
"(53, 11)",1,1,1,1
"(54, 11)",1,1,1,1
"(55, 11)",0,0,1,1
"(56, 11)",1,1,1,1
"(57, 11)",1,1,1,0
"(58, 11)",1,0,0,1
"(59, 11)",0,1,1,0
"(60, 11)",0,1,0,1
"(61, 11)",1,0,1,0
"(62, 11)",1,0,0,1
"(63, 11)",1,0,1,1
"(64, 11)",1,1,1,1
"(65, 11)",0,0,1,1
"(66, 11)",1,1,1,1
"(67, 11)",0,0,1,1
"(68, 11)",1,1,1,1
"(69, 11)",0,0,1,1
"(70, 11)",1,1,1,0
"(1, 12)",1,1,0,0
"(2, 12)",1,1,0,0
"(3, 12)",1,1,0,1
"(4, 12)",1,1,1,1
"(5, 12)",1,1,1,1
"(6, 12)",0,0,1,0
"(7, 12)",1,1,0,0
"(8, 12)",1,1,0,1
"(9, 12)",1,1,1,1
"(10, 12)",1,1,1,0
"(11, 12)",1,1,0,0
"(12, 12)",1,1,0,1
"(13, 12)",1,1,1,0
"(14, 12)",1,1,0,1
"(15, 12)",0,0,1,1
"(16, 12)",1,1,1,1
"(17, 12)",0,1,1,0
"(18, 12)",1,1,0,0
"(19, 12)",1,1,0,0
"(20, 12)",1,1,0,0
"(21, 12)",1,1,0,1
"(22, 12)",1,1,1,1
"(23, 12)",0,0,1,1
"(24, 12)",1,1,1,0
"(25, 12)",1,1,0,1
"(26, 12)",0,1,1,1
"(27, 12)",1,1,1,1
"(28, 12)",0,0,1,1
"(29, 12)",1,1,1,0
"(30, 12)",1,1,0,0
"(31, 12)",1,1,0,1
"(32, 12)",0,0,1,1
"(33, 12)",1,1,1,0
"(34, 12)",1,1,0,0
"(35, 12)",1,1,0,1
"(36, 12)",0,0,1,1
"(37, 12)",1,1,1,1
"(38, 12)",0,0,1,1
"(39, 12)",1,0,1,1
"(40, 12)",1,0,1,1
"(41, 12)",0,1,1,0
"(42, 12)",1,1,0,0
"(43, 12)",1,0,0,1
"(44, 12)",0,1,1,1
"(45, 12)",1,0,1,0
"(46, 12)",1,0,0,1
"(47, 12)",0,0,1,1
"(48, 12)",1,1,1,0
"(49, 12)",1,1,0,0
"(50, 12)",1,1,0,1
"(51, 12)",0,1,1,0
"(52, 12)",1,1,0,0
"(53, 12)",1,1,0,0
"(54, 12)",1,1,0,0
"(55, 12)",1,0,0,1
"(56, 12)",1,1,1,0
"(57, 12)",1,1,0,1
"(58, 12)",0,1,1,1
"(59, 12)",1,0,1,1
"(60, 12)",0,0,1,1
"(61, 12)",1,1,1,1
"(62, 12)",0,1,1,0
"(63, 12)",0,1,0,0
"(64, 12)",1,1,0,1
"(65, 12)",1,0,1,1
"(66, 12)",0,1,1,1
"(67, 12)",0,0,1,1
"(68, 12)",1,1,1,1
"(69, 12)",1,0,1,1
"(70, 12)",1,1,1,0
"(1, 13)",1,1,0,0
"(2, 13)",1,1,0,1
"(3, 13)",0,1,1,0
"(4, 13)",1,1,0,0
"(5, 13)",1,1,0,0
"(6, 13)",1,0,0,1
"(7, 13)",0,1,1,0
"(8, 13)",1,1,0,0
"(9, 13)",1,1,0,0
"(10, 13)",1,1,0,1
"(11, 13)",0,1,1,1
"(12, 13)",1,1,1,0
"(13, 13)",1,1,0,1
"(14, 13)",0,1,1,0
"(15, 13)",1,0,0,1
"(16, 13)",0,1,1,1
"(17, 13)",0,0,1,1
"(18, 13)",1,1,1,0
"(19, 13)",1,1,0,1
"(20, 13)",0,1,1,1
"(21, 13)",1,1,1,0
"(22, 13)",1,1,0,0
"(23, 13)",1,0,0,1
"(24, 13)",0,1,1,1
"(25, 13)",0,1,1,1
"(26, 13)",1,0,1,0
"(27, 13)",1,1,0,1
"(28, 13)",0,0,1,1
"(29, 13)",0,1,1,1
"(30, 13)",1,1,1,0
"(31, 13)",1,1,0,0
"(32, 13)",1,0,0,1
"(33, 13)",1,1,1,1
